single,What are the three formal requirements for consensus?,"Agreement, Termination, Validity","Safety, Liveness, Fairness","Agreement, Causality, Delivery","Atomicity, Consistency, Isolation","Ordering, Delivery, Termination",,,,,1,vs-ch13
single,What does the FLP impossibility result state?,No deterministic algorithm can guarantee consensus in an asynchronous system with even one possible failure,Consensus is impossible in synchronous systems,Byzantine faults make consensus impossible in all settings,Consensus requires at least 3 nodes in any system,No randomized algorithm can achieve consensus,,,,,1,vs-ch13
single,How many nodes are required to tolerate f crash failures in Raft/Paxos (majority-quorum approach)?,2f + 1,3f + 1,f + 1,2f,3f,,,,,1,vs-ch13
single,How many nodes are required to tolerate f Byzantine (traitor) failures?,3f + 1,2f + 1,4f + 1,f + 1,2f + 1 with authentication,,,,,1,vs-ch13
single,"In Paxos Phase 1 (Prepare/Promise), what does an acceptor promise when it receives a Prepare(N) message?","Not to accept any proposal numbered less than N, and to return the highest-numbered accepted proposal",To immediately accept value N as the chosen value,To forward the Prepare message to all other acceptors,To reject all future Prepare messages with number > N,To send its own proposal to the proposer,,,,,1,vs-ch13
single,"In Raft, what condition must a candidate satisfy to win a leader election?",Its log must be at least as up-to-date as the log of a majority of nodes,It must have the highest node ID in the cluster,It must have the longest log in the cluster,It must receive votes from all nodes in the cluster,It must have received the last heartbeat from the old leader,,,,,1,vs-ch13
single,"In Raft, when does a leader consider a log entry from the CURRENT term committed?",When a majority of servers have acknowledged storing the entry,When the entry has been applied to the leader's own state machine,When any single follower has acknowledged the entry,When the entry has been stored on all servers,When the term number of the entry exceeds the previous committed entry's term,,,,,1,vs-ch13
single,Which real-world system uses Raft as its consensus algorithm?,etcd (used by Kubernetes),Apache Kafka (for log replication),Google Spanner,Apache Cassandra,Redis Sentinel,,,,,1,vs-ch13
single,"Why does Raft NOT allow committing log entries from previous terms directly, even if stored on a majority?",A later leader with a conflicting entry could still win an election and overwrite those entries,Entries from previous terms are always uncommitted and must be discarded,Entries can only be committed by the leader who originally created them,The term number stored in the entry would overflow if committed across terms,Previous-term entries are only stored locally and never replicated,,,,,1,vs-ch13
single,What is the key practical trade-off that Raft makes when a network partition occurs?,Raft prioritises consistency (safety) over availability: the minority partition stops making progress,Raft prioritises availability: both partitions continue to serve clients independently,Raft uses a randomised algorithm so both partitions may decide differently,Raft waits indefinitely until the partition heals before making any decision,Raft promotes a leader in each partition to maintain full availability,,,,,1,vs-ch13
